,KMeans Execution Time,MiniBatchKMeans Execution Time,Inertia Delta
2000.0,0.31010890007019043,0.3456852436065674,628.6936683081294
3494.9494949494947,0.30699872970581055,0.21560287475585938,137.53998793575738
4989.898989898989,0.3266470432281494,0.27367401123046875,17.48769159661606
6484.848484848485,0.2905099391937256,0.10921430587768555,1191.867907672815
7979.79797979798,0.28708982467651367,0.1661357879638672,11.350963494987809
9474.747474747473,0.2860102653503418,0.08403611183166504,204.6632317292606
10969.69696969697,0.28730297088623047,0.07169580459594727,232.09637587516045
12464.646464646465,0.25734877586364746,0.06403207778930664,137.509367991639
13959.59595959596,0.27591896057128906,0.09718036651611328,17.518241390760522
15454.545454545454,0.2629218101501465,0.09132218360900879,13.44016537724383
16949.494949494947,0.26505589485168457,0.11115217208862305,12.580270366132027
18444.444444444445,0.3190181255340576,0.06451606750488281,83.71122820463643
19939.39393939394,0.2727041244506836,0.0753929615020752,7.367102834898105
21434.343434343435,0.3141059875488281,0.09413909912109375,13.727789607990417
22929.29292929293,0.3763389587402344,0.05844616889953613,72.63374973364989
24424.242424242424,0.3674941062927246,0.07218408584594727,21.066868662426714
25919.19191919192,0.26305198669433594,0.06643891334533691,40.4065432531861
27414.141414141413,0.35768604278564453,0.0864262580871582,41.08493406535126
28909.090909090908,0.3294830322265625,0.07863974571228027,16.341665631669457
30404.040404040403,0.362354040145874,0.08256101608276367,20.099871965983766
31898.989898989897,0.34766387939453125,0.051772356033325195,47.25506127141125
33393.93939393939,0.34140706062316895,0.04129791259765625,16.91003345343779
34888.88888888889,0.3030221462249756,0.0848686695098877,22.561657841841225
36383.83838383838,0.3453402519226074,0.05289292335510254,48.65828320878791
37878.78787878788,0.37540197372436523,0.051758766174316406,5.711741538376373
39373.73737373737,0.2820930480957031,0.04236125946044922,80.59966415837698
40868.68686868687,0.3195970058441162,0.06626009941101074,17.047301374441304
42363.63636363636,0.26100802421569824,0.03979897499084473,132.75432547722448
43858.58585858586,0.2850799560546875,0.05482912063598633,27.062860575177183
45353.53535353535,0.35331201553344727,0.06139397621154785,68.04714921317645
46848.48484848485,0.37574219703674316,0.04998302459716797,34.258223526601796
48343.43434343434,0.2754848003387451,0.06446075439453125,6.853004712276743
49838.38383838384,0.26451706886291504,0.05662417411804199,13.10410496548866
51333.333333333336,0.32220888137817383,0.07253503799438477,49.260475475661224
